Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2019-02-28	",1729.81,24268,27.3,0,14,6919.24,25.928,24
"2019-03-01	",1708.25,24098,28.4,0,17,6833,31.484,31
"2019-03-04	",1854.02,26528,28,0,13,7416.08,24.076,28
"2019-03-05	",1413.29,23243,27.2,0,13,5653.16,24.076,32
"2019-03-06	",1756.71,24426,27.4,0,14,7026.84,25.928,22
"2019-03-07	",1782.15,26770,27.6,0,12,7128.6,22.224,26
"2019-03-08	",1884.15,26537,27.1,0,15,7536.6,29.632,26
"2019-03-09	",1915.91,27818,27.1,0,14,7663.64,25.928,21
"2019-03-11	",1660.66,23828,28.5,0,11,6642.64,20.372,24
"2019-03-12	",1715.34,23716,39.1,0,13,6861.36,24.076,32
"2019-03-13	",1797.54,26355,28.8,0,14,7190.16,25.928,27
"2019-03-15	",1798.33,26493,28.5,0,15,7193.32,27.78,22
"2019-03-16	",1477.96,20671,28,0,17,5911.84,31.484,31
"2019-03-17	",1507.87,19311,28.2,0,18,6031.48,33.336,34
"2019-03-20	",1700.41,24024,28.5,0,18,6801.64,33.336,24
"2019-03-21	",1848.73,27101,29.1,0,12,7394.92,22.224,22
"2019-03-23	",1790.37,26609,28,0,12,7161.48,22.224,33
"2019-03-24	",1260.03,19396,27.9,0,14,5040.12,25.928,36
"2019-03-25	",647.4,8565,27.1,0.1,11,2589.6,20.372,25
"2019-03-26	",1484.52,20719,28.8,0,16,5938.08,29.632,12
"2019-03-28	",1737.01,23992,29,0,18,6948.04,33.336,27
"2019-03-29	",1487.33,21681,29.6,0,11,5949.32,20.372,26
"2019-03-31	",1509.57,23541,29.4,0,14,6038.28,25.928,22
"2019-04-01	",1522.6,21450,28.9,0,13,6090.4,24.076,23
"2019-04-03	",1200.36,16607,28.6,0,15,4801.44,27.78,22
"2019-04-05	",1967.47,28746,28.7,0,12,7869.88,22.224,24
